ID,oneway,coords
28997066,yes,"[(-15.666187, -55.9602088), (-15.6660373, -55.9606379), (-15.6659615, -55.9608215), (-15.6658513, -55.9610885), (-15.6657002, -55.9614466), (-15.6654013, -55.9620985), (-15.6646623, -55.9639179), (-15.6641539, -55.9651781), (-15.664029, -55.9654746), (-15.6639764, -55.9656012), (-15.6639329, -55.9657061), (-15.6638673, -55.9658639), (-15.6633708, -55.9670846), (-15.6631719, -55.967546), (-15.6630715, -55.9677526), (-15.6629278, -55.9681132), (-15.6620192, -55.9702301), (-15.660757, -55.9733058)]"
28997069,no,"[(-15.6989095, -56.112396), (-15.6999887, -56.1140602), (-15.700266, -56.1145131)]"
28997070,no,"[(-15.7060656, -56.1331216), (-15.7061335, -56.1350078), (-15.7061361, -56.1350802), (-15.7063132, -56.1397453), (-15.7063397, -56.1404887), (-15.7063453, -56.1406262), (-15.7063569, -56.140987), (-15.7063588, -56.1411922), (-15.7063582, -56.1413725), (-15.7063511, -56.1415556), (-15.7063303, -56.1418358), (-15.7063033, -56.1420579), (-15.7062633, -56.142318), (-15.7062149, -56.1425668), (-15.7061433, -56.1428858), (-15.7060824, -56.1430996), (-15.7060417, -56.1432182), (-15.7059847, -56.1433854), (-15.7059056, -56.1436182), (-15.7054374, -56.1450116), (-15.7052206, -56.1456429), (-15.7047246, -56.1470511), (-15.7045362, -56.1475993), (-15.7031623, -56.1515789), (-15.7030773, -56.1518249), (-15.7029518, -56.1521886), (-15.7028601, -56.1524776), (-15.7027929, -56.1527108), (-15.7027846, -56.1527397), (-15.7027278, -56.1529798), (-15.7026632, -56.1532728), (-15.7026177, -56.1535109), (-15.7023534, -56.1548784), (-15.7020945, -56.1562461), (-15.7015994, -56.1588606), (-15.701574, -56.1589921)]"
28997331,no,"[(-15.6029258, -56.2044238), (-15.601499, -56.2052567), (-15.6012549, -56.205423), (-15.6009539, -56.2056738), (-15.6007395, -56.2059031), (-15.6005677, -56.206111), (-15.6003326, -56.206508), (-15.6001595, -56.2069505), (-15.6000458, -56.2073663), (-15.5999386, -56.207943), (-15.5998844, -56.2086712), (-15.5997081, -56.2112553), (-15.5990202, -56.2193584), (-15.5989246, -56.2198037), (-15.5987309, -56.2204635), (-15.5985035, -56.2210858), (-15.5982349, -56.2216035), (-15.5967514, -56.2238758), (-15.5962663, -56.2246397), (-15.5959175, -56.2252218), (-15.5924195, -56.2307739), (-15.5919493, -56.2314874), (-15.5914171, -56.2321338), (-15.590704, -56.2327621), (-15.5902674, -56.2330592), (-15.5878673, -56.2343761), (-15.5819716, -56.2375948), (-15.5765651, -56.2405161), (-15.5756545, -56.2412686), (-15.5750269, -56.2420211), (-15.574523, -56.2429388), (-15.5712979, -56.2511142), (-15.5707482, -56.2520701), (-15.5671485, -56.2568944), (-15.5634563, -56.2616036)]"
28997342,yes,"[(-15.638147, -56.1208608), (-15.6383117, -56.1210675), (-15.6384639, -56.1212474), (-15.6385772, -56.1213814), (-15.6386302, -56.1214441), (-15.6390022, -56.1218929), (-15.6397192, -56.122722), (-15.640435, -56.1235077), (-15.640776, -56.1239387), (-15.6409499, -56.124258), (-15.6410687, -56.124714), (-15.6411004, -56.1248837), (-15.6411701, -56.1253785), (-15.6411947, -56.1255335), (-15.64136, -56.1263165), (-15.6415259, -56.1271022), (-15.6416107, -56.1275114), (-15.6417732, -56.1282953), (-15.6418527, -56.1289018), (-15.6419465, -56.1292826), (-15.641955, -56.12966), (-15.6418311, -56.1300548), (-15.6416327, -56.1303724), (-15.6411745, -56.1309154)]"
28998018,no,"[(-15.665146, -56.0077134), (-15.6667255, -56.0085475), (-15.6680417, -56.0092171), (-15.6682985, -56.0093478), (-15.6683995, -56.0093992), (-15.6685741, -56.0094927), (-15.6686465, -56.0095315), (-15.6686665, -56.0095422), (-15.6700372, -56.0103097), (-15.6748443, -56.0128324), (-15.6790616, -56.0147441), (-15.6792003, -56.0148104), (-15.6792874, -56.0148496), (-15.679613, -56.0149782), (-15.6796752, -56.0150061), (-15.6799398, -56.0151417), (-15.6800286, -56.0151844), (-15.6801996, -56.0152573), (-15.6805133, -56.015402), (-15.6827483, -56.0164324), (-15.6830603, -56.0165763), (-15.683493, -56.0167453), (-15.6849056, -56.0173586), (-15.6868195, -56.0182338), (-15.6871686, -56.0183934), (-15.6873942, -56.0184966), (-15.6883162, -56.0189182), (-15.6895362, -56.0194414), (-15.689645, -56.019488), (-15.6910134, -56.0201013), (-15.6914705, -56.0203053), (-15.6921349, -56.020605), (-15.6926135, -56.0208169), (-15.693275, -56.021232), (-15.6937244, -56.0215395), (-15.694053, -56.021863), (-15.6944546, -56.0222482), (-15.6948279, -56.022758), (-15.6953569, -56.0236299), (-15.6956484, -56.0241992), (-15.6992159, -56.0352913), (-15.6994899, -56.0362028), (-15.6995947, -56.0367007), (-15.6996799, -56.0371647), (-15.7000847, -56.0405893), (-15.7001276, -56.0409449)]"
28998118,yes,"[(-15.6388442, -56.0263366), (-15.6389456, -56.0263842), (-15.6390341, -56.0264285), (-15.6391038, -56.0264707), (-15.6391574, -56.0265076), (-15.6392097, -56.0265572), (-15.6392575, -56.0266109), (-15.6392969, -56.0266793), (-15.6393305, -56.0267504), (-15.6393627, -56.0268308), (-15.6393886, -56.026918), (-15.6394112, -56.0270112), (-15.6394467, -56.0271567), (-15.6394622, -56.0272452), (-15.6394699, -56.027319), (-15.6394765, -56.0273699), (-15.6394932, -56.0275255), (-15.6394957, -56.0275638), (-15.6395681, -56.0285233), (-15.6396457, -56.0289653), (-15.6396702, -56.0291054), (-15.6396946, -56.0292435)]"
29001083,yes,"[(-15.6251299, -56.0604705), (-15.6257526, -56.0596085)]"
29001086,yes,"[(-15.6257526, -56.0596085), (-15.6260329, -56.0592904), (-15.6260373, -56.0592845), (-15.6265634, -56.0585812), (-15.6266421, -56.0584634), (-15.6270574, -56.0578487), (-15.6271001, -56.0577855), (-15.6271518, -56.057709), (-15.6272271, -56.0575975), (-15.6273231, -56.0574563), (-15.6276869, -56.0569211), (-15.6283245, -56.0559833), (-15.628699, -56.0554332), (-15.6290692, -56.054971), (-15.629157, -56.0548561), (-15.6292666, -56.0547048), (-15.6295913, -56.0541748), (-15.6296437, -56.0540819), (-15.6298333, -56.0537453), (-15.6303876, -56.0529306), (-15.6309528, -56.0521256), (-15.6313201, -56.0515618), (-15.6314516, -56.05136), (-15.6315715, -56.0511705), (-15.6317857, -56.0508394), (-15.6318595, -56.0507253), (-15.6318731, -56.0507042), (-15.6320881, -56.0503415), (-15.6324721, -56.0498036), (-15.6331998, -56.0487686), (-15.6333908, -56.0484948), (-15.6339007, -56.0477638)]"
29001088,yes,"[(-15.6256403, -56.0595855), (-15.6250347, -56.0604014)]"
29001173,yes,"[(-15.6083612, -56.0812795), (-15.6083494, -56.0813849), (-15.6083319, -56.081449), (-15.608298, -56.081572), (-15.6082544, -56.0816387), (-15.6081953, -56.0816988), (-15.6081314, -56.0817477), (-15.608093, -56.0817712), (-15.6080259, -56.0817849), (-15.6078992, -56.081796), (-15.6077934, -56.0817824), (-15.6077038, -56.0817098), (-15.6076518, -56.0816291), (-15.6075983, -56.0815492), (-15.6075815, -56.0814634), (-15.6075841, -56.0813695), (-15.6075892, -56.0812106)]"
29001174,yes,"[(-15.6076693, -56.0806328), (-15.6080954, -56.0810366)]"
29001209,yes,"[(-15.6250347, -56.0604014), (-15.6244572, -56.0612212), (-15.6242779, -56.0614476), (-15.6241923, -56.061554), (-15.6234464, -56.0625186), (-15.6232329, -56.0627946), (-15.6225145, -56.0636298), (-15.6217161, -56.064586), (-15.620546, -56.0659681), (-15.6203891, -56.0661359), (-15.6200159, -56.0664336), (-15.6198454, -56.0666107), (-15.6193682, -56.0671834), (-15.6191828, -56.0674059), (-15.6190082, -56.0675918), (-15.6189787, -56.0676232), (-15.6187708, -56.067937), (-15.6186042, -56.0682039), (-15.618187, -56.0686921), (-15.6177053, -56.0692386), (-15.6174637, -56.0695128), (-15.6166603, -56.0704677), (-15.6165919, -56.0705462), (-15.6163658, -56.0708058), (-15.6159932, -56.0712344), (-15.6159338, -56.0712965), (-15.6155741, -56.0716975), (-15.6146971, -56.0726973), (-15.6146384, -56.0727647)]"
29001746,yes,"[(-15.6608326, -55.9736618), (-15.6609457, -55.9733865), (-15.6615887, -55.971871), (-15.6618776, -55.9712157), (-15.6621802, -55.9703878), (-15.6625779, -55.969567), (-15.6628723, -55.9690708), (-15.6632559, -55.9682836), (-15.6634314, -55.9678531), (-15.6635696, -55.967491), (-15.6637426, -55.966984), (-15.6638899, -55.9664395), (-15.664019, -55.9660292), (-15.6645376, -55.9647991), (-15.6649462, -55.9638029), (-15.6651773, -55.9632571), (-15.6653361, -55.9629071), (-15.6654536, -55.9626053), (-15.6655776, -55.9623157), (-15.6657782, -55.9618053), (-15.6658888, -55.9615238), (-15.6659478, -55.9613851), (-15.6660037, -55.9612535), (-15.6661961, -55.9608096), (-15.6664931, -55.960131)]"
29004592,yes,"[(-16.4806132, -54.650995), (-16.479185, -54.6516716)]"
29004594,yes,"[(-16.4722367, -54.6549401), (-16.4720892, -54.6550052), (-16.4711204, -54.6554493), (-16.4705198, -54.6557714), (-16.4698047, -54.6560711), (-16.4688168, -54.6565506), (-16.4683072, -54.6567656), (-16.4681658, -54.6568357), (-16.4680765, -54.6568743), (-16.4674841, -54.6571291), (-16.4668165, -54.6574145), (-16.4664603, -54.6575575), (-16.4656893, -54.6577873), (-16.4654516, -54.6578645), (-16.4652081, -54.6579754), (-16.4643356, -54.6583809), (-16.4642206, -54.6584283), (-16.4635907, -54.6587001), (-16.46275, -54.6592836), (-16.4625066, -54.6594313), (-16.4622801, -54.6595602), (-16.4617272, -54.6598229), (-16.4611998, -54.6600616), (-16.4597311, -54.6607563), (-16.4582497, -54.6614046), (-16.4575488, -54.6616596), (-16.4571724, -54.6618379), (-16.4569119, -54.6619646)]"
29004597,yes,"[(-16.4806424, -54.6510946), (-16.4864454, -54.6483946), (-16.4865692, -54.648337), (-16.4870184, -54.6481213), (-16.4873299, -54.6479821), (-16.4875638, -54.6478816), (-16.4881444, -54.6476605), (-16.4883524, -54.6476016)]"
